Age,Associate Degree,Bachelors Degree,College Credit,Masters Degree,Other,Primary School,Professional Degree,Secondary School
15-18 years old,18,23,129,4,122,699,11,1313
18-24 years old,439,5449,2373,1038,267,195,81,2766
25-34 years old,579,10736,2197,6760,235,107,733,824
35-44 years old,444,5435,1580,4896,133,77,1086,505
45-54 years old,194,2127,893,1902,58,31,573,230
55-64 years old,88,879,357,719,35,8,312,100
65-80 years old,26,234,103,199,16,8,141,19
