,EdLevel,count
0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24942
1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15557
2,Some college/university study without earning a degree,7651
3,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5793
4,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2970
5,"Associate degree (A.A., A.S., etc.)",1793
6,Primary/elementary school,1146
7,Something else,932
